Accession,A_NAT_151,A_NAT_264,A_NAT_661,A_NAT_692,A_NAT_803,A_NAT_919,A_T_151,A_T_264,A_T_661,A_T_692,A_T_803,A_T_919,I_NAT_160,I_NAT_253,I_NAT_557,I_NAT_693,I_NAT_954,I_NAT_978,I_T_160,I_T_253,I_T_557,I_T_693,I_T_954,I_T_978
A0A0B4J1X5,23.494,24.236,22.2087,21.7613,22.3248,20.4458,22.4842,23.3291,23.314,22.1309,22.226,20.0557,22.5121,22.9471,23.2271,21.9217,23.1625,22.7986,21.2219,21.61,22.7316,22.5595,21.4923,22.4702
A0A0C4DH38,23.5774,22.7001,22.9462,23.0449,23.1697,22.2775,22.635,21.5182,23.7833,23.1383,20.3541,21.5813,22.1806,23.6489,20.7437,22.2343,22.7876,23.4786,21.4769,22.4787,21.0542,22.549,20.603,23.9674
A0AV96,23.9415,20.327,22.4513,23.1584,23.375,21.1192,23.7042,24.3543,23.5444,23.2741,22.8407,23.8757,23.5807,22.3354,23.9406,24.1758,23.8422,22.8442,23.5983,24.112,23.8683,24.0562,23.8673,21.2949
A0AVT1,24.728,24.5299,23.7901,24.2252,24.4446,21.7915,25.1679,25.1771,23.9948,24.7215,23.9844,24.8344,24.591,24.2693,24.3623,24.5759,24.375,24.2905,24.312,24.6871,24.3956,24.5272,24.4524,24.2663
A0FGR8,23.6221,24.2148,23.9724,23.468,23.0754,22.9594,23.4801,23.6561,23.8163,23.5492,24.1108,23.4237,23.2498,24.2332,23.0436,23.461,23.1166,24.2295,23.4383,23.0508,23.337,23.316,23.3889,23.8443
A0MZ66,23.3235,21.4178,20.7844,22.7235,23.3254,23.0987,23.6093,23.5524,23.2193,22.2861,24.1732,23.0236,22.9815,22.4781,23.391,23.7391,23.0689,21.0966,23.004,23.911,23.5912,22.8562,23.5886,22.6405
A1L0T0,23.0064,22.6068,22.636,22.5515,22.6317,21.9802,22.3287,22.0788,22.1244,22.4438,22.4597,22.3184,22.3691,22.495,22.5229,22.8425,22.5217,22.5435,21.6365,22.3274,22.1465,22.5228,22.1851,22.5194
A2RRP1,21.6664,20.28,21.1398,21.5007,21.4078,20.1737,21.8926,21.429,21.033,21.6622,21.7903,21.3919,21.1928,20.0895,21.1055,21.6808,21.2528,20.882,21.2265,21.5208,21.1157,21.5483,21.4763,20.6242
B9A064,28.6167,28.2038,27.651,27.4157,27.638,29.855,28.1395,26.4205,28.5172,27.7907,26.8016,28.1475,29.0194,28.9141,28.0353,27.208,28.1955,28.7939,28.7864,27.8214,27.7672,27.5464,28.0829,29.4594
CON__P00761,28.6125,28.7739,27.9641,28.3396,28.8624,28.6176,28.1715,27.6115,28.4315,28.4778,28.022,28.0924,27.5748,28.7244,28.2788,28.4375,28.1661,28.8777,27.3573,28.089,28.3435,28.1819,28.1116,28.9735
CON__P02768-1,34.7402,34.6978,34.6117,34.555,34.75,35.4361,34.2413,33.7345,35.2601,34.1802,34.2237,34.4337,35.0271,35.3618,34.7978,34.0948,34.1869,34.8312,34.2919,34.1079,34.3623,34.1971,34.2003,35.1609
CON__P08727,29.0084,29.1706,30.4008,29.3376,29.2612,28.3122,26.6483,27.193,29.5389,29.061,29.2534,28.1857,28.5131,28.5203,28.3427,28.5352,30.0266,28.436,27.9703,28.0828,29.1201,28.6087,27.5841,29.5558
CON__P19012,27.627,24.2505,27.0828,27.3628,27.7967,26.5138,19.8257,24.8887,27.1486,20.66,20.6566,26.4452,28.295,27.4138,27.4334,26.9953,27.5903,26.894,27.2423,22.292,27.4402,27.0243,21.0482,27.5342
CON__Q3SX28,30.3487,31.641,30.7871,30.565,29.8964,31.7078,29.6709,29.1152,30.5891,30.1553,29.5192,29.5355,31.0609,30.7218,30.2202,30.1828,30.2315,30.3978,30.2433,29.1206,29.9401,30.2621,30.2516,30.5604
