Accession,Gene,LFQ.intensity.64_167G_30,LFQ.intensity.64_167G_5,LFQ.intensity.64_33G_30,LFQ.intensity.64_33G_5,LFQ.intensity.65_167G_30,LFQ.intensity.65_167G_5,LFQ.intensity.65_33G_30,LFQ.intensity.65_33G_5,LFQ.intensity.66_167G_30,LFQ.intensity.66_167G_5,LFQ.intensity.66_33G_30,LFQ.intensity.66_33G_5,LFQ.intensity.67_167G_30,LFQ.intensity.67_167G_5,LFQ.intensity.67_33G_30,LFQ.intensity.67_33G_5,LFQ.intensity.68_167G_30,LFQ.intensity.68_167G_5,LFQ.intensity.68_33G_30,LFQ.intensity.68_33G_5,LFQ.intensity.69_167G_30,LFQ.intensity.69_167G_5,LFQ.intensity.69_33G_30,LFQ.intensity.69_33G_5,LFQ.intensity.71_167G_30,LFQ.intensity.71_167G_5,LFQ.intensity.71_33G_30,LFQ.intensity.71_33G_5,LFQ.intensity.72_167G_30,LFQ.intensity.72_167G_5,LFQ.intensity.72_33G_30,LFQ.intensity.72_33G_5,LFQ.intensity.73_167G_30,LFQ.intensity.73_167G_5,LFQ.intensity.73_33G_30,LFQ.intensity.73_33G_5
P0DPI2,,28.50948906,28.10064125,28.77790451,28.73869705,27.90207672,28.36782265,27.27657509,28.94656563,28.20405769,28.61673737,28.39357948,28.59088707,28.30094719,28.03044319,28.7007122,28.37098312,28.93277931,28.73682976,29.18006516,29.86593819,27.46832085,27.84673119,28.23717499,27.81274414,28.17140579,28.10724258,28.6112957,28.95872879,29.23726463,28.6496563,28.87364388,29.92110443,27.9371376,28.02896881,28.34218979,28.37546539
A0A0B4J2E5,PWP2,24.75017166,23.98582649,24.11031151,24.63270187,27.4445858,27.40486908,25.49148941,25.73667717,24.03590584,24.05424118,24.46009827,24.35790062,24.5920639,24.72598457,24.4168663,24.2559967,26.03275681,24.93634033,24.56427574,24.56185722,24.27838326,24.23680878,23.53219604,23.34556961,24.91333008,24.79803085,24.38212013,24.58250618,25.43238258,24.46556854,24.19755745,24.24546432,24.87201691,25.12415695,23.71391296,23.91512489
A0AV96,RBM47,27.9648819,27.96686172,28.31501389,28.30264854,27.08304214,26.88716125,27.43133545,28.13594437,27.99873352,27.8511467,28.12238121,28.04718399,27.42894173,27.62100792,28.21252441,27.77793694,27.59270477,27.69212151,28.05460358,28.22618866,27.73698997,27.74098396,28.22375298,28.56623459,27.93106079,27.71652985,28.06794548,28.05858231,27.41256142,27.6875248,27.99193954,27.78081703,27.51314545,27.49136543,28.01903152,28.18167686
A0AVT1,UBA6,27.61918831,27.67485428,27.63290977,27.62359047,28.53270721,28.62226486,28.18309784,28.22733688,27.93988419,27.86248398,27.9402771,27.79989815,27.98880196,28.15639114,28.10993385,28.08694267,27.94452858,28.08151817,27.93483353,27.90598297,27.9049511,28.16130066,27.86141968,28.13565063,27.74804115,27.75926018,27.68692398,27.79284096,28.36452866,27.75040627,28.10274506,27.46637726,27.96251106,28.1038456,27.78344345,28.05268669
A0FGR8,ESYT2,26.37956047,26.20417023,26.86914825,26.94782066,27.66315842,27.55997849,27.12829399,27.15015602,26.34374046,26.32971382,26.21471214,26.76736641,27.12652206,27.10039139,26.88739204,27.0307579,25.83862686,26.1649189,26.09240723,26.15032959,26.76951218,26.39956474,26.78668594,26.5929184,26.32685471,26.22585869,26.48894882,26.53651428,25.756464,26.10769272,26.65417099,26.71554947,26.51571846,26.90793228,26.4796505,26.60597229
A0MZ66,KIAA1598,28.05558586,28.10784149,28.53912163,28.28885651,27.98000145,26.76141739,27.35296059,28.26288795,27.8291111,28.10789108,28.19587135,28.06542969,27.68839264,27.74316788,27.96190453,27.81176376,28.1465683,28.07479858,28.27052689,28.32915688,27.85798264,27.96262169,28.0730629,28.35359192,28.12854004,28.01158714,28.40458488,28.36356735,28.47919655,28.18522644,28.53926849,28.85860634,27.65717316,27.75130081,27.65013504,28.14525604
A1L0T0,ILVBL,28.032547,28.06609726,27.87379074,27.97109032,29.14206886,29.31777573,28.09592247,27.36135101,27.74804115,27.60780716,28.0507164,28.02168083,28.69395065,28.42229843,28.48749924,28.1002903,28.30934334,28.41227722,28.13035774,28.35047531,28.39517403,28.50206947,28.52898788,28.42109489,27.78519058,27.77824974,27.69584274,28.1009922,28.02374458,27.88930893,28.02358627,27.73550606,28.53267097,28.10759163,28.15107536,28.38763618
A1X283,SH3PXD2B,24.83412552,23.44041252,25.13920212,24.02142906,26.30394554,26.22206688,25.67863274,25.8404541,23.61639595,23.75947189,24.6971035,24.64636421,24.79575539,25.04401779,25.44944191,24.26276207,24.27329636,23.89079094,24.35736275,24.38738823,24.99137878,24.96459579,25.64325714,25.87199402,23.69587898,24.85808945,25.02567863,25.04063606,24.56296539,24.69991112,24.40498924,24.5303154,23.584795,24.64294052,25.0377903,25.29967308
A2RRP1,NBAS,26.51932335,26.44347954,26.73802185,26.04614449,27.07541084,27.39296532,26.88692856,25.26954842,26.52735519,26.4363327,26.51105118,26.65989685,27.13300705,27.00303078,26.60512543,26.58118439,26.44297409,26.80722618,26.24114418,26.30706024,26.24726105,26.35925865,26.89261246,26.8836689,26.21578598,26.2263546,26.37641716,26.25869942,25.34769821,26.16445923,25.62089539,24.22953606,27.07989311,26.15543556,26.92093468,26.52847481
A3KMH1,VWA8,26.36749649,26.2767334,25.14500809,24.37454224,26.75021553,26.00536728,26.4366188,26.63574982,26.08222961,26.04130554,26.45960808,27.26436615,25.74378395,23.00450134,24.22776413,24.28830719,26.76141739,26.47739792,24.22689819,26.59405899,26.21478653,26.20489883,26.29482651,26.81726456,26.46782303,26.29970741,26.92761803,26.46438408,24.8605423,26.09528923,26.33956718,26.13700104,26.30265617,25.6866436,25.87654495,25.6240921
A5YKK6,CNOT1,27.38195419,27.35707855,26.94044495,27.2945652,28.19008827,27.74823189,27.42726326,27.91096497,27.45018196,27.31276512,27.17769241,27.71227264,27.52223015,27.51960945,27.6724968,27.27213097,27.17455292,27.03820992,27.21576881,26.94010925,27.28268433,27.29885292,27.70140648,27.33883667,27.00056267,27.28383255,27.26945877,27.13075066,27.24254417,26.99291229,26.97891045,26.61960983,27.40226746,27.41159058,27.39149284,27.71154976
Q9GZQ8,MAP1LC3B;MAP1LC3B2,28.15247917,27.89203453,27.93696785,27.83713531,27.06476212,27.12927628,26.89931297,28.27475357,28.05004311,27.80599594,27.92008209,27.80051422,27.5954113,27.15537643,27.53237343,27.46248245,27.63055038,27.62163734,27.67841911,27.40973091,27.38607407,27.50733376,27.72923088,27.68825912,27.56819344,27.9460907,27.55405998,27.70417976,27.98288536,27.84649086,27.8016243,28.2639637,26.76116371,27.37890053,27.40177917,27.53667831
A6NFQ2,TCAF2,25.84136581,25.61876869,26.68498611,26.47770691,26.87677765,27.38944244,25.97436523,26.43493271,27.051754,26.86064911,26.67774773,27.1578846,26.22595024,26.03741455,26.54082108,26.32735062,26.25264931,26.39809799,26.42390251,26.40600395,25.75806618,25.68544006,26.26088905,26.2926693,25.64661026,25.89140892,25.93858528,25.7796402,24.03900528,26.22398186,26.09375763,26.21317482,25.9642868,25.92240906,26.15842438,25.94433784
A6NGU5,GGT3P;GGT2,23.96663857,28.08248329,24.59170341,24.14621353,29.30801964,28.17193031,29.0867672,30.05814362,29.13591957,29.17421913,28.41316605,28.35594559,28.59238434,28.79082298,29.62978745,28.28533363,28.63284111,28.14753914,28.36135101,29.19544792,28.21576881,28.14865303,29.15520859,29.47398186,28.58315849,28.38191414,28.37521744,28.71440315,29.33575249,28.96633911,28.00292397,28.66962624,27.58563232,28.44086838,28.36369324,29.21777916
A6NHQ2,FBLL1,27.32774544,27.37160683,26.08638573,26.88669586,26.86985397,26.93786621,26.41773605,27.69292068,27.36143494,27.40624809,27.01169395,26.72220993,26.36937904,26.76736641,27.35136032,26.75773621,26.91843414,27.25295639,26.98478889,26.84433746,26.88623047,26.03718376,26.8469696,26.54667664,27.22526932,26.87267494,26.39103317,24.9780407,27.42462349,27.13310432,24.38707542,23.30778885,26.62380028,26.68244362,26.96818161,27.65075111
A6NHR9,SMCHD1,29.47575951,29.00109863,27.01690865,23.67704773,23.50372505,29.63987732,24.58828545,23.96754646,29.37523651,26.52728081,23.70598412,23.01655388,28.59622955,23.80026054,28.59519768,28.94637108,29.19396973,24.35682297,27.07091522,24.50032616,28.33389854,28.8578949,23.68404579,26.47952652,29.95393562,23.85447884,24.04063416,24.3903923,27.35203362,24.13092041,29.33283234,29.37964439,28.52398872,24.75557137,28.69690514,28.52234268
A6NIH7,UNC119B,25.53679657,25.75687027,25.52921867,24.44418526,23.32405472,24.89142609,25.28379822,25.69635963,25.99772263,25.64729691,26.01224709,26.39653015,25.36819649,24.05087662,25.43689919,24.05200195,25.9301033,25.8543129,26.13161469,26.56085205,25.29253006,25.50751686,24.78565407,24.50969887,25.52534103,25.4738884,25.87011337,25.87215805,25.49060059,24.87175751,25.6947937,26.0599041,25.36436081,25.20612907,25.78369141,24.99495697
A8MXV4,NUDT19,26.05825233,25.90806961,26.13025856,25.98191833,25.5383358,25.3656292,25.5659008,25.31572151,25.90407753,26.02267647,26.32908058,26.1611557,26.04610252,25.86976051,25.45014763,26.14503288,25.47997475,25.59943199,25.50654793,25.47435188,25.62625313,25.82250214,26.08190536,26.21730423,25.75279427,26.00502396,25.94279671,25.9491787,24.97796822,25.44978905,25.091362,24.92002678,25.37059402,25.24662781,25.4664402,25.89700699
P0CG08,GPR89B;GPR89A,25.96082306,25.04067802,24.77434158,23.85358429,24.41991615,23.52008629,24.42699623,25.28130341,24.31768608,25.20679855,23.5629673,24.08749008,24.74980354,23.71544647,25.21967316,24.60438919,23.26249123,25.4926815,23.68621635,24.8063488,25.36258888,25.29417801,24.67861176,24.19101906,25.44142342,25.36238861,23.63240051,24.37895012,23.45560646,24.62232018,24.5731678,24.79745674,25.66863251,25.27887917,23.54812813,24.75883484
C4AMC7,WASH3P;WASH2P,25.48916245,25.41763878,25.4306488,25.43249893,24.75179863,24.52264977,23.46469879,25.06774139,25.41751099,25.06336403,25.36349297,25.288311,25.19102859,25.3175869,25.66912079,24.75182915,25.14526558,25.0498867,25.20672417,24.48633957,23.4432354,24.82837296,25.38258171,25.51890373,25.35494423,25.00341797,25.59775734,25.210186,25.52817535,24.63274574,25.2076931,25.12817574,25.04672623,24.66914749,23.52815819,25.33851814
E9PAV3,NACA,29.17142868,29.43294716,28.73424721,29.02022362,29.54329491,30.00998688,28.76869202,27.72890663,29.07196426,28.89769936,28.54940414,28.65928459,29.34492111,29.46810722,28.29955101,29.15446091,29.25160217,29.13990021,28.41663361,28.51874542,29.44351959,29.51297569,28.50263786,28.47734451,29.3272953,29.24760056,28.8789711,29.07086372,27.90586853,28.97467804,28.1407299,29.11565018,29.76140213,29.74890327,28.69637299,28.13985252
O00116,AGPS,26.71450043,26.55079079,25.96408844,26.45326233,26.57845116,26.76913261,27.47367096,25.29705048,26.40143776,26.0830822,26.06293106,26.29307365,26.66925621,26.83255577,27.64010048,27.06373405,26.39163971,26.25517273,26.86950111,26.40478706,26.747015,26.93337059,27.33440971,27.19919777,26.53021622,26.66722679,26.09920692,26.38462448,25.617733,25.65646362,24.57649422,25.29689026,26.2250309,26.29200363,26.69032478,25.83838654
O00139,KIF2A,25.44789886,24.09309387,24.48554802,22.69950867,24.42547989,24.66638565,25.28288269,25.84582138,23.91828346,24.54421616,24.56261444,25.36362648,23.78574371,23.36081314,25.62273979,25.1354351,24.19631386,24.58763123,24.52874184,25.12707329,22.77973938,24.76149368,24.64885139,24.69439507,23.90657234,23.84704781,24.15615273,24.59565353,24.70607567,24.35595322,24.5185585,26.04587555,24.64740753,24.60652924,24.45976448,24.91893578
O00142,TK2,25.89668274,25.90120316,25.81080818,25.74149704,25.46547508,25.13190842,25.58141327,26.69484711,25.74381065,25.4399662,25.99627876,26.09954834,25.88313293,25.70669746,25.83287048,25.78081703,25.66264343,25.59761429,25.67354774,26.0680275,22.6631012,25.48879433,26.21111488,26.08658981,25.39195061,25.59354591,25.98489761,25.85730743,25.27944756,25.74911499,25.93867493,25.8678093,25.59003639,23.77197456,26.37283707,24.31813622
O00151,PDLIM1,29.61173439,29.45471954,29.82867241,29.7609272,28.97773743,28.75557327,28.58645439,29.58774376,30.12570953,30.06932831,29.91285133,30.18860245,28.62770081,28.72695923,29.238451,29.2286911,30.14904213,29.84828377,30.03682327,30.49495506,29.80946541,29.76588249,29.78821182,29.65512657,30.15315628,30.09030533,30.37772179,30.41609001,30.09345627,30.23603439,30.16399002,30.24694443,29.09325409,29.34986305,29.0886631,29.30749893
O00154,ACOT7,27.05620766,26.72546387,25.90630531,24.58368111,27.18971062,27.74136925,26.16342354,23.7316227,26.32435036,26.04974174,26.17180634,26.06270599,27.25988388,27.0521698,24.01592636,24.21167374,26.17506599,26.348526,25.21630478,25.28471565,26.09874535,27.16038704,25.93183899,26.36098289,25.73221016,25.44164467,25.68800545,25.64732552,26.76926041,25.44774055,24.50248909,24.72172737,26.29647446,25.77613068,25.80301857,24.53421402
O00159,MYO1C,29.32840919,29.64087677,29.59988594,29.56214523,30.70717812,30.44005585,30.88685608,30.82873344,29.61834908,29.77423286,29.74740028,29.78674889,30.11483192,29.92987633,30.22285461,29.71723366,29.56775856,29.52123833,29.71328926,29.61943436,29.40728188,29.5280571,29.73324394,29.71369934,29.5905304,29.67962646,29.58700943,29.7173481,29.76320839,29.63446808,29.37817574,29.32339287,30.14345741,30.23819923,30.28835106,30.27786064
O00170,AIP,26.22136688,26.79711533,26.68832588,26.17325592,25.54719162,25.86396027,24.48493195,23.98257065,26.85495567,27.41828346,23.92159271,24.07827187,25.95785904,26.07308388,26.46905136,26.20331192,26.59733009,26.75110817,26.9640007,27.16710472,26.49801826,26.2266674,22.77139282,24.67987251,26.66505814,26.51992416,26.87055969,26.48750687,27.01180077,26.78194237,26.96916962,26.85851669,25.86336899,25.92998886,23.78650665,25.27440071
O00178,GTPBP1,26.98609161,25.46273232,25.92329407,25.98871613,27.43991852,27.13985252,25.97777557,25.48646355,26.4591713,26.54808807,26.66180038,26.36688042,27.74310303,27.23608017,25.69646645,26.18215179,25.9791069,26.22169876,26.39938545,25.94753075,26.47982025,26.92840958,26.49318504,26.19966698,26.64016914,25.90005112,26.21343422,25.95690727,26.18483925,26.0377903,26.17041206,25.78314209,26.88774109,26.85305214,26.37572289,26.53304291
O00182,LGALS9;LGALS9C;LGALS9B,23.89238548,24.73924446,24.89105797,25.38157845,23.72198486,24.34840775,24.40883827,25.05932617,24.65317535,24.47364235,25.15041351,24.92756653,25.55197906,24.73453712,24.73649979,24.70292664,25.65077972,24.99528694,25.85531235,25.48631096,25.33377838,25.04222488,25.1040554,25.15054321,24.42399788,24.23834038,23.94464874,24.22368813,24.71357727,23.95368385,24.56241035,25.02185822,24.85109901,25.00144196,24.67481422,24.97784042
O00186,STXBP3,25.27134705,25.25006676,25.50051308,25.50993347,27.1728363,27.18262482,25.90667152,26.22084999,25.17710304,24.97928238,24.8102932,25.10425568,26.33596039,25.73034477,25.85692787,25.73197746,25.15332985,25.97869301,25.98037148,23.97465134,26.44603729,25.95664215,25.86071968,24.3194046,25.40213776,26.09244919,25.78284264,25.88163948,26.34793472,25.09454346,26.15765381,26.03014755,26.83050156,25.59858131,25.90318108,25.16653061
O00192,ARVCF,27.34172249,27.19197083,26.4835453,26.23503876,26.15029144,26.43677711,26.07808113,26.61090851,26.2647953,26.24014473,25.45189667,24.9616394,26.46112442,26.85364723,25.70890999,25.27895164,27.04301643,26.43542671,25.33885384,25.88541603,26.47156525,26.65458107,25.41557693,24.59326172,27.54318428,26.64278793,26.41672134,25.79253197,25.99228668,26.77756119,27.55705833,26.75238609,27.18034935,26.29734802,25.43370819,26.45026016
O00193,SMAP,25.72889328,25.80259895,23.9275322,24.20394897,24.54349899,25.42856216,24.89286804,25.58955193,26.56200409,26.80242729,26.51897812,26.82917213,25.82585335,25.44565964,24.97912407,24.66860962,26.29465294,26.53642654,26.06511116,26.66193771,26.48686409,26.77429581,26.23493004,25.31147957,26.87114716,26.1002903,23.82188034,25.04056168,27.19385147,26.63892746,27.50005722,24.84106064,26.30037117,26.75264168,23.57919312,24.19453049
O00203,AP3B1,28.67788124,28.67404556,29.04022408,28.91042137,28.91928673,28.88524055,28.66797066,28.0527916,28.80578232,28.7895813,28.89891052,28.74643898,28.4233017,28.45838165,28.83403397,28.90555191,28.55851936,28.63082886,28.8865509,28.74890327,28.65935326,28.38607407,28.92405319,28.90810394,28.76714516,28.63841057,28.83300972,28.90446281,28.78559494,28.58727837,28.94413757,28.8646698,28.3651123,28.38071632,28.85465813,28.59896469
