"","Experiment","Module","ModuleEigenprotein","SampleID"
"1","A_NAT_151","MEblack",0.246317464104261,NA
"2","A_NAT_264","MEblack",0.278039361725809,NA
"3","A_NAT_661","MEblack",0.00884763556051965,NA
"4","A_NAT_692","MEblack",-0.0162799270198061,NA
"5","A_NAT_803","MEblack",0.119526965237446,NA
"6","A_NAT_919","MEblack",-0.111009104468123,NA
"7","A_T_151","MEblack",0.13104176822798,NA
"8","A_T_264","MEblack",-0.126026992216268,NA
"9","A_T_661","MEblack",0.223384386883887,NA
"10","A_T_692","MEblack",-0.0318121000446528,NA
"11","A_T_803","MEblack",-0.017024726273448,NA
"12","A_T_919","MEblack",-0.445833809265424,NA
"13","I_NAT_160","MEblack",-0.0726224385419759,NA
"14","I_NAT_253","MEblack",0.445691790352238,NA
"15","I_NAT_557","MEblack",-0.0666374944924008,NA
"16","I_NAT_693","MEblack",-0.183618035506701,NA
"17","I_NAT_954","MEblack",-0.101331410103154,NA
"18","I_NAT_978","MEblack",0.237924121474127,NA
"19","I_T_160","MEblack",-0.287644381921097,NA
"20","I_T_253","MEblack",-0.143195916523718,NA
"21","I_T_557","MEblack",-0.167813451727225,NA
"22","I_T_693","MEblack",-0.122002386912902,NA
"23","I_T_954","MEblack",-0.0943939625909061,NA
"24","I_T_978","MEblack",0.296472644041533,NA
"25","A_NAT_151","MEblue",-0.0076370123094212,NA
"26","A_NAT_264","MEblue",-0.218997134739865,NA
"27","A_NAT_661","MEblue",-0.0888212070673417,NA
"28","A_NAT_692","MEblue",-0.11914588580397,NA
"29","A_NAT_803","MEblue",-0.0317903670569362,NA
"30","A_NAT_919","MEblue",-0.420667411699421,NA
"31","A_T_151","MEblue",0.147063229551787,NA
"32","A_T_264","MEblue",0.403428658140562,NA
"33","A_T_661","MEblue",-0.0505772568546359,NA
"34","A_T_692","MEblue",0.251086148801966,NA
"35","A_T_803","MEblue",0.0643870441669167,NA
"36","A_T_919","MEblue",0.113481481031142,NA
"37","I_NAT_160","MEblue",-0.200199981891691,NA
"38","I_NAT_253","MEblue",-0.37626499831839,NA
"39","I_NAT_557","MEblue",-0.0334241054697704,NA
"40","I_NAT_693","MEblue",0.0491290750545726,NA
"41","I_NAT_954","MEblue",0.0706127602962096,NA
"42","I_NAT_978","MEblue",-0.220873596439373,NA
"43","I_T_160","MEblue",0.202896138086841,NA
"44","I_T_253","MEblue",0.255249782254767,NA
"45","I_T_557","MEblue",0.0223109328335113,NA
"46","I_T_693","MEblue",0.112310171991436,NA
"47","I_T_954","MEblue",0.286824841807291,NA
"48","I_T_978","MEblue",-0.210381306366187,NA
"49","A_NAT_151","MEbrown",0.00953457129890331,NA
"50","A_NAT_264","MEbrown",0.368500884787957,NA
"51","A_NAT_661","MEbrown",0.223810765245256,NA
"52","A_NAT_692","MEbrown",0.128184501860397,NA
"53","A_NAT_803","MEbrown",0.0707366371538201,NA
"54","A_NAT_919","MEbrown",0.129219641474052,NA
"55","A_T_151","MEbrown",-0.239788881448492,NA
"56","A_T_264","MEbrown",-0.293278215856897,NA
"57","A_T_661","MEbrown",0.158359695629019,NA
"58","A_T_692","MEbrown",-0.0490540536572478,NA
"59","A_T_803","MEbrown",-0.076284729976892,NA
"60","A_T_919","MEbrown",-0.321815082614153,NA
"61","I_NAT_160","MEbrown",0.0274235593601369,NA
"62","I_NAT_253","MEbrown",0.242241925069856,NA
"63","I_NAT_557","MEbrown",0.00198052507589108,NA
"64","I_NAT_693","MEbrown",-0.0370518167339449,NA
"65","I_NAT_954","MEbrown",-0.0635976874696052,NA
"66","I_NAT_978","MEbrown",0.289269823985156,NA
"67","I_T_160","MEbrown",-0.190325743455063,NA
"68","I_T_253","MEbrown",-0.411975125773964,NA
"69","I_T_557","MEbrown",-0.056585602308814,NA
"70","I_T_693","MEbrown",0.00145815585952373,NA
"71","I_T_954","MEbrown",-0.214196215981857,NA
"72","I_T_978","MEbrown",0.303232468476962,NA
"73","A_NAT_151","MEcyan",-0.0171714816099858,NA
"74","A_NAT_264","MEcyan",-0.0811708011290734,NA
"75","A_NAT_661","MEcyan",-0.280915747122644,NA
"76","A_NAT_692","MEcyan",-0.0259223450614659,NA
"77","A_NAT_803","MEcyan",0.0746237555053388,NA
"78","A_NAT_919","MEcyan",-0.351497382069124,NA
"79","A_T_151","MEcyan",0.292949646376134,NA
"80","A_T_264","MEcyan",0.310535254959388,NA
"81","A_T_661","MEcyan",-0.207948787567936,NA
"82","A_T_692","MEcyan",-0.211440243779758,NA
"83","A_T_803","MEcyan",0.362673735898159,NA
"84","A_T_919","MEcyan",-0.0194091575213619,NA
"85","I_NAT_160","MEcyan",-0.226585637448612,NA
"86","I_NAT_253","MEcyan",-0.0532514408743485,NA
"87","I_NAT_557","MEcyan",0.0925852182724435,NA
"88","I_NAT_693","MEcyan",0.0811717975636084,NA
"89","I_NAT_954","MEcyan",-0.0126230137360196,NA
"90","I_NAT_978","MEcyan",-0.149467813119905,NA
"91","I_T_160","MEcyan",-0.136891121652861,NA
"92","I_T_253","MEcyan",0.436048888405871,NA
"93","I_T_557","MEcyan",0.0432676515059687,NA
"94","I_T_693","MEcyan",0.0405378214472621,NA
"95","I_T_954","MEcyan",0.216514261483813,NA
"96","I_T_978","MEcyan",-0.176613058724888,NA
"97","A_NAT_151","MEgreen",0.0222695506598847,NA
"98","A_NAT_264","MEgreen",-0.027989946479831,NA
"99","A_NAT_661","MEgreen",-0.0633498442005877,NA
"100","A_NAT_692","MEgreen",-0.0114447070676781,NA
"101","A_NAT_803","MEgreen",0.0644298828591013,NA
"102","A_NAT_919","MEgreen",-0.846508461616135,NA
"103","A_T_151","MEgreen",0.116644160299544,NA
"104","A_T_264","MEgreen",0.253804299395845,NA
"105","A_T_661","MEgreen",-0.0599474879647957,NA
"106","A_T_692","MEgreen",0.024267101805721,NA
"107","A_T_803","MEgreen",0.158670172466028,NA
"108","A_T_919","MEgreen",0.0274424870299419,NA
"109","I_NAT_160","MEgreen",-0.164265973112928,NA
"110","I_NAT_253","MEgreen",-0.104384052334057,NA
"111","I_NAT_557","MEgreen",0.081562800271422,NA
"112","I_NAT_693","MEgreen",0.121612352070099,NA
"113","I_NAT_954","MEgreen",0.0387620109618657,NA
"114","I_NAT_978","MEgreen",-0.0956298743645416,NA
"115","I_T_160","MEgreen",0.0308373195750584,NA
"116","I_T_253","MEgreen",0.224922842168728,NA
"117","I_T_557","MEgreen",0.0563466601283216,NA
"118","I_T_693","MEgreen",0.108071686891982,NA
"119","I_T_954","MEgreen",0.14107509622407,NA
"120","I_T_978","MEgreen",-0.0971980756670592,NA
"121","A_NAT_151","MEgreenyellow",0.0831933996590977,NA
"122","A_NAT_264","MEgreenyellow",-0.055177854722107,NA
"123","A_NAT_661","MEgreenyellow",-0.714232507305827,NA
"124","A_NAT_692","MEgreenyellow",-0.0334491073995722,NA
"125","A_NAT_803","MEgreenyellow",0.078901220404489,NA
"126","A_NAT_919","MEgreenyellow",-0.195830989383348,NA
"127","A_T_151","MEgreenyellow",0.214292359032366,NA
"128","A_T_264","MEgreenyellow",0.274805003264,NA
"129","A_T_661","MEgreenyellow",-0.0983897753737508,NA
"130","A_T_692","MEgreenyellow",0.0361467624064311,NA
"131","A_T_803","MEgreenyellow",0.226572289854993,NA
"132","A_T_919","MEgreenyellow",-0.0263099436823205,NA
"133","I_NAT_160","MEgreenyellow",-0.0837270753954153,NA
"134","I_NAT_253","MEgreenyellow",-0.346035326537474,NA
"135","I_NAT_557","MEgreenyellow",0.100136928080932,NA
"136","I_NAT_693","MEgreenyellow",0.120568755724314,NA
"137","I_NAT_954","MEgreenyellow",0.0196236502920142,NA
"138","I_NAT_978","MEgreenyellow",-0.0405193936966581,NA
"139","I_T_160","MEgreenyellow",-0.0231055627018775,NA
"140","I_T_253","MEgreenyellow",0.201683855403583,NA
"141","I_T_557","MEgreenyellow",0.0607224165762642,NA
"142","I_T_693","MEgreenyellow",0.0978007142246665,NA
"143","I_T_954","MEgreenyellow",0.186662012636715,NA
"144","I_T_978","MEgreenyellow",-0.0843318313615125,NA
"145","A_NAT_151","MEgrey60",0.101575994093959,NA
"146","A_NAT_264","MEgrey60",-0.0456718232855738,NA
"147","A_NAT_661","MEgrey60",-0.108885986505206,NA
"148","A_NAT_692","MEgrey60",0.0607601228645881,NA
"149","A_NAT_803","MEgrey60",0.0735939094576316,NA
"150","A_NAT_919","MEgrey60",-0.218239961077516,NA
"151","A_T_151","MEgrey60",0.176658185294741,NA
"152","A_T_264","MEgrey60",0.25444136537775,NA
"153","A_T_661","MEgrey60",-0.0831589886303417,NA
"154","A_T_692","MEgrey60",0.0688295627799607,NA
"155","A_T_803","MEgrey60",0.227283368111229,NA
"156","A_T_919","MEgrey60",0.0915686352977258,NA
"157","I_NAT_160","MEgrey60",-0.030569519158916,NA
"158","I_NAT_253","MEgrey60",-0.209166435547901,NA
"159","I_NAT_557","MEgrey60",0.0951752515739002,NA
"160","I_NAT_693","MEgrey60",0.147947022755549,NA
"161","I_NAT_954","MEgrey60",-0.0361207826813573,NA
"162","I_NAT_978","MEgrey60",-0.29491692595336,NA
"163","I_T_160","MEgrey60",0.0338538529024165,NA
"164","I_T_253","MEgrey60",0.246874501009734,NA
"165","I_T_557","MEgrey60",0.0817231237613974,NA
"166","I_T_693","MEgrey60",0.0930048665665105,NA
"167","I_T_954","MEgrey60",-0.0125081248008732,NA
"168","I_T_978","MEgrey60",-0.714051214206052,NA
"169","A_NAT_151","MElightcyan",0.108395293994467,NA
"170","A_NAT_264","MElightcyan",-0.534803569876858,NA
"171","A_NAT_661","MElightcyan",-0.331392843139689,NA
"172","A_NAT_692","MElightcyan",-0.0124686147700231,NA
"173","A_NAT_803","MElightcyan",0.0484169469908169,NA
"174","A_NAT_919","MElightcyan",-0.110834057883852,NA
"175","A_T_151","MElightcyan",0.214441210334259,NA
"176","A_T_264","MElightcyan",0.14436361053703,NA
"177","A_T_661","MElightcyan",-0.121982156435685,NA
"178","A_T_692","MElightcyan",0.0327075322035236,NA
"179","A_T_803","MElightcyan",0.0750665335059374,NA
"180","A_T_919","MElightcyan",0.176903071607566,NA
"181","I_NAT_160","MElightcyan",0.00424237372360048,NA
"182","I_NAT_253","MElightcyan",-0.313819887127847,NA
"183","I_NAT_557","MElightcyan",0.142429632614299,NA
"184","I_NAT_693","MElightcyan",0.178966864602782,NA
"185","I_NAT_954","MElightcyan",0.0958408616643141,NA
"186","I_NAT_978","MElightcyan",-0.237592933813009,NA
"187","I_T_160","MElightcyan",0.139492037009691,NA
"188","I_T_253","MElightcyan",0.253563561872114,NA
"189","I_T_557","MElightcyan",0.157644566234801,NA
"190","I_T_693","MElightcyan",0.146338221044697,NA
"191","I_T_954","MElightcyan",0.070418208204067,NA
"192","I_T_978","MElightcyan",-0.326336463097005,NA
"193","A_NAT_151","MEmagenta",0.0859145750401738,NA
"194","A_NAT_264","MEmagenta",0.102493090812291,NA
"195","A_NAT_661","MEmagenta",0.146666763695293,NA
"196","A_NAT_692","MEmagenta",0.200745690507195,NA
"197","A_NAT_803","MEmagenta",0.133892579800897,NA
"198","A_NAT_919","MEmagenta",0.289909857221058,NA
"199","A_T_151","MEmagenta",-0.440577772911389,NA
"200","A_T_264","MEmagenta",-0.30121866170057,NA
"201","A_T_661","MEmagenta",0.000558774675802287,NA
"202","A_T_692","MEmagenta",-0.0579600477638708,NA
"203","A_T_803","MEmagenta",-0.422590581836786,NA
"204","A_T_919","MEmagenta",-0.0621426371208303,NA
"205","I_NAT_160","MEmagenta",0.241350347457637,NA
"206","I_NAT_253","MEmagenta",0.11437849607862,NA
"207","I_NAT_557","MEmagenta",0.103610777762246,NA
"208","I_NAT_693","MEmagenta",0.121872040075561,NA
"209","I_NAT_954","MEmagenta",0.0770834683693567,NA
"210","I_NAT_978","MEmagenta",0.0210953026599009,NA
"211","I_T_160","MEmagenta",0.0496104074202564,NA
"212","I_T_253","MEmagenta",-0.329482726115066,NA
"213","I_T_557","MEmagenta",-0.0343777088354031,NA
"214","I_T_693","MEmagenta",0.0960605104448985,NA
"215","I_T_954","MEmagenta",-0.306749342564048,NA
"216","I_T_978","MEmagenta",0.169856796826773,NA
"217","A_NAT_151","MEmidnightblue",-0.0979482095675725,NA
"218","A_NAT_264","MEmidnightblue",0.422284545068374,NA
"219","A_NAT_661","MEmidnightblue",0.3823659037081,NA
"220","A_NAT_692","MEmidnightblue",-0.091336938748937,NA
"221","A_NAT_803","MEmidnightblue",-0.00104226078254843,NA
"222","A_NAT_919","MEmidnightblue",-0.320349231471508,NA
